Department,SaleDate,Amount,Quantity,ItemCode,ItemDescription,Salesperson
Home Appliances,2020-06-30,144.93,9,C003,Refrigerator,Emily
Clothing,2020-07-13,540.18,1,N014,Art Book,Andrew
Home Appliances,2021-03-16,226.23,1,J010,Board Game,Sarah
Electronics,2020-06-14,552.17,9,G007,Jeans,Alex
Books,2021-01-30,834.43,3,N014,Art Book,Alex
Toys,2022-10-27,780.04,4,N014,Art Book,Emily
Toys,2021-04-15,599.33,10,G007,Jeans,Daniel
Toys,2020-08-14,566.51,5,M013,Vacuum Cleaner,David
Books,2022-11-07,279.47,9,A001,Smartphone,Emily
Electronics,2021-12-30,652.34,8,K011,Headphones,Emily
Electronics,2021-10-17,579.49,10,K011,Headphones,Daniel
Toys,2023-03-27,535.44,10,G007,Jeans,Alex
Clothing,2021-03-11,775.55,5,A001,Smartphone,Andrew
Electronics,2023-01-27,264.14,9,H008,Microwave,Michael
Toys,2020-09-27,901.54,2,A001,Smartphone,David
Home Appliances,2022-08-27,431.13,3,B002,T-shirt,Sarah
Books,2021-04-11,657.37,3,C003,Refrigerator,Olivia
Electronics,2021-03-18,702.05,6,E005,Action Figure,Andrew
Toys,2021-07-11,923.81,8,O015,Puzzle,Emily
Home Appliances,2022-08-15,192.86,10,E005,Action Figure,Daniel
Books,2022-01-02,778.38,1,M013,Vacuum Cleaner,Andrew
Books,2022-01-19,125.3,6,J010,Board Game,Michael
Toys,2020-10-25,959.89,10,O015,Puzzle,Sarah
Toys,2021-08-20,508.78,6,A001,Smartphone,Michael
Clothing,2022-11-20,272.63,9,L012,Dress,Sarah
Toys,2021-12-24,494.42,7,G007,Jeans,Michael
Clothing,2022-02-17,891.86,1,L012,Dress,David
Toys,2021-12-13,656.12,1,I009,Cookbook,Jane
Clothing,2022-11-19,485.54,4,D004,Novel,Andrew
Home Appliances,2022-03-02,362.28,10,I009,Cookbook,Olivia
Books,2021-07-01,353.71,7,D004,Novel,Sarah
Home Appliances,2023-04-01,297.3,2,G007,Jeans,John
Home Appliances,2022-05-22,837.71,8,B002,T-shirt,Sarah
Electronics,2022-08-19,452.24,1,C003,Refrigerator,David
Home Appliances,2021-06-01,121.22,1,I009,Cookbook,Olivia
Books,2020-09-09,722.54,7,E005,Action Figure,Daniel
Toys,2021-06-07,876.24,6,C003,Refrigerator,Jane
Home Appliances,2021-01-25,374.14,1,H008,Microwave,David
Clothing,2022-11-15,856.36,2,E005,Action Figure,Olivia
Clothing,2022-08-30,458.22,4,O015,Puzzle,Andrew
Books,2020-06-17,677.55,8,I009,Cookbook,Daniel
Toys,2021-04-14,168.13,5,O015,Puzzle,Jane
Home Appliances,2022-03-31,203.19,4,E005,Action Figure,David
Home Appliances,2022-06-10,147.59,2,D004,Novel,Jane
Electronics,2020-12-16,361.75,4,K011,Headphones,Jane
Electronics,2020-10-07,543.47,8,L012,Dress,David
Books,2020-10-14,178.93,6,B002,T-shirt,Michael
Books,2020-06-27,229.96,7,L012,Dress,Olivia
Books,2021-11-15,596.94,3,E005,Action Figure,Alex
Home Appliances,2020-06-06,852.76,3,J010,Board Game,John
Electronics,2023-01-26,195.81,5,N014,Art Book,Emily
Toys,2021-09-08,481.36,5,I009,Cookbook,Michael
Toys,2022-03-02,907.83,9,I009,Cookbook,Jane
Clothing,2020-10-15,885.3,8,M013,Vacuum Cleaner,Emily
Clothing,2023-01-28,683.35,2,E005,Action Figure,Jane
Toys,2021-08-21,585.05,5,O015,Puzzle,Sarah
Home Appliances,2020-10-23,880.4,9,N014,Art Book,Sarah
Clothing,2022-12-14,625.95,1,M013,Vacuum Cleaner,Jane
Books,2020-07-02,561.86,1,E005,Action Figure,John
Electronics,2020-09-23,908.82,4,O015,Puzzle,Sarah
Electronics,2021-12-25,139.27,3,N014,Art Book,Daniel
Books,2022-01-20,128.45,2,O015,Puzzle,Alex
Toys,2021-02-06,694.18,10,F006,Laptop,John
Books,2022-04-13,334.13,6,J010,Board Game,Jane
Electronics,2020-11-27,401.19,7,H008,Microwave,Andrew
Electronics,2020-11-12,848.13,9,G007,Jeans,Sarah
Clothing,2020-11-13,145.8,1,E005,Action Figure,John
Electronics,2020-09-13,681.88,8,C003,Refrigerator,John
Electronics,2020-05-30,154.21,1,K011,Headphones,Michael
Electronics,2021-11-28,397.69,3,I009,Cookbook,Alex
Books,2022-05-02,551.26,3,M013,Vacuum Cleaner,Alex
Toys,2022-02-20,893.33,5,O015,Puzzle,Michael
Electronics,2020-07-29,530.53,4,O015,Puzzle,Daniel
Toys,2021-02-02,136.0,8,O015,Puzzle,Alex
Toys,2022-11-07,655.51,9,B002,T-shirt,Daniel
Books,2022-04-23,393.9,9,E005,Action Figure,John
Clothing,2022-08-03,322.23,3,H008,Microwave,Olivia
Toys,2022-06-16,276.41,1,N014,Art Book,Alex
Books,2022-03-12,395.85,6,C003,Refrigerator,Emily
Clothing,2022-11-19,965.71,2,A001,Smartphone,Daniel
Clothing,2021-07-05,798.92,5,B002,T-shirt,Emily
Clothing,2020-06-02,403.65,6,B002,T-shirt,Alex
Clothing,2022-06-06,246.51,10,N014,Art Book,Emily
Clothing,2020-10-07,629.47,6,E005,Action Figure,Andrew
Home Appliances,2021-12-18,926.02,5,M013,Vacuum Cleaner,Sarah
Home Appliances,2021-06-29,341.26,6,D004,Novel,Emily
Electronics,2021-05-20,525.61,7,A001,Smartphone,Daniel
Clothing,2023-03-16,727.12,5,C003,Refrigerator,Jane
Electronics,2021-11-21,131.96,5,F006,Laptop,Emily
Home Appliances,2021-06-18,955.05,8,B002,T-shirt,Alex
Clothing,2021-11-05,613.27,9,O015,Puzzle,Olivia
Home Appliances,2021-06-05,798.82,8,E005,Action Figure,Alex
Clothing,2020-09-07,261.7,2,F006,Laptop,Olivia
Clothing,2020-08-27,159.53,7,J010,Board Game,Andrew
Clothing,2022-05-08,584.78,6,F006,Laptop,Alex
Toys,2021-07-22,267.43,8,O015,Puzzle,John
Clothing,2020-11-12,851.89,8,I009,Cookbook,John
Clothing,2022-12-21,121.28,9,K011,Headphones,David
Clothing,2022-10-02,865.21,2,H008,Microwave,Emily
Clothing,2022-04-10,587.52,8,C003,Refrigerator,Andrew
Clothing,2022-04-07,369.19,9,A001,Smartphone,Alex
Home Appliances,2022-05-13,968.81,6,E005,Action Figure,Emily
Books,2021-08-30,966.49,9,D004,Novel,Daniel
Toys,2023-02-07,104.08,1,K011,Headphones,Olivia
Electronics,2022-06-14,338.25,8,G007,Jeans,Olivia
Books,2023-04-23,783.16,3,I009,Cookbook,Olivia
Home Appliances,2020-06-25,182.33,4,D004,Novel,John
Home Appliances,2023-01-09,127.76,2,I009,Cookbook,Alex
Books,2021-01-09,769.81,8,K011,Headphones,Andrew
Electronics,2020-09-14,107.41,6,B002,T-shirt,Jane
Home Appliances,2022-11-13,548.68,4,B002,T-shirt,Sarah
Electronics,2023-02-11,939.8,4,K011,Headphones,David
Toys,2023-05-27,558.24,9,L012,Dress,Jane
Home Appliances,2021-09-04,346.26,3,F006,Laptop,Alex
Toys,2022-06-06,669.59,9,H008,Microwave,Daniel
Books,2022-02-05,888.08,7,A001,Smartphone,Andrew
Toys,2022-07-12,228.23,10,L012,Dress,Michael
Books,2022-06-18,602.18,6,C003,Refrigerator,Alex
Electronics,2021-01-05,611.63,2,I009,Cookbook,Sarah
Toys,2021-01-27,488.51,7,J010,Board Game,Michael
Books,2021-10-11,865.53,2,K011,Headphones,Sarah
Home Appliances,2020-08-27,330.63,5,G007,Jeans,John
Books,2023-03-01,871.49,7,A001,Smartphone,Olivia
Home Appliances,2021-02-17,679.18,3,K011,Headphones,Emily
Electronics,2021-07-13,259.15,7,L012,Dress,Jane
Clothing,2020-10-02,311.29,6,B002,T-shirt,Alex
Books,2020-07-04,664.34,9,K011,Headphones,Andrew
Clothing,2022-04-15,593.77,10,N014,Art Book,Andrew
Toys,2023-03-03,292.3,6,D004,Novel,Jane
Electronics,2021-11-27,699.21,5,A001,Smartphone,David
Home Appliances,2020-12-18,726.95,10,D004,Novel,Emily
Books,2020-10-11,223.64,4,G007,Jeans,David
Electronics,2021-01-25,779.61,4,A001,Smartphone,Daniel
Clothing,2022-01-17,550.16,8,H008,Microwave,Sarah
Clothing,2021-11-10,761.72,3,H008,Microwave,Alex
Electronics,2022-04-29,989.03,10,L012,Dress,John
Books,2022-01-16,874.96,5,N014,Art Book,Alex
Home Appliances,2022-12-09,540.06,6,M013,Vacuum Cleaner,Olivia
Electronics,2021-11-01,253.39,3,O015,Puzzle,Jane
Home Appliances,2022-01-15,278.75,2,B002,T-shirt,David
Electronics,2021-09-03,642.94,10,K011,Headphones,Michael
Toys,2021-01-22,248.11,2,F006,Laptop,Andrew
Books,2020-12-15,895.68,9,B002,T-shirt,Daniel
Clothing,2021-12-03,343.27,2,K011,Headphones,Emily
Clothing,2023-05-01,592.33,5,I009,Cookbook,Michael
Toys,2023-02-11,442.09,9,D004,Novel,John
Toys,2022-08-07,467.77,2,N014,Art Book,David
Electronics,2020-09-05,750.24,2,N014,Art Book,Olivia
Books,2022-11-10,748.49,7,H008,Microwave,Michael
Toys,2021-05-18,480.11,3,M013,Vacuum Cleaner,Jane
Electronics,2022-05-06,952.63,6,O015,Puzzle,Michael
Books,2020-06-16,989.04,7,F006,Laptop,Michael
Electronics,2020-07-01,479.99,3,D004,Novel,Daniel
Home Appliances,2022-03-15,540.45,7,K011,Headphones,Alex
Electronics,2021-10-31,108.98,3,I009,Cookbook,David
Books,2020-11-26,612.23,4,O015,Puzzle,Michael
Books,2022-04-01,619.7,5,L012,Dress,Olivia
Toys,2022-11-15,860.26,5,L012,Dress,Olivia
Toys,2020-10-05,523.46,7,E005,Action Figure,Emily
Home Appliances,2022-10-03,856.25,3,G007,Jeans,David
Clothing,2023-03-19,856.75,2,G007,Jeans,David
Home Appliances,2020-08-03,562.2,7,O015,Puzzle,Emily
Home Appliances,2021-01-04,844.2,5,N014,Art Book,Andrew
Home Appliances,2020-08-25,109.29,10,J010,Board Game,David
Books,2021-01-09,956.06,2,N014,Art Book,Jane
Books,2022-09-10,104.55,4,J010,Board Game,Daniel
Books,2020-10-03,122.11,10,B002,T-shirt,Emily
Toys,2021-01-16,704.1,5,K011,Headphones,Alex
Electronics,2021-09-25,849.73,3,C003,Refrigerator,Sarah
Books,2022-07-28,511.66,4,B002,T-shirt,Daniel
Clothing,2021-04-02,766.22,8,F006,Laptop,Alex
Books,2020-11-26,487.68,5,O015,Puzzle,Andrew
Toys,2022-12-22,392.6,6,N014,Art Book,David
Home Appliances,2020-12-15,278.91,6,L012,Dress,Emily
Clothing,2022-09-05,166.73,9,E005,Action Figure,David
Clothing,2022-03-25,545.38,4,C003,Refrigerator,John
Clothing,2022-10-04,281.19,3,D004,Novel,Emily
Toys,2021-06-10,757.61,10,B002,T-shirt,David
Electronics,2023-03-26,596.33,1,O015,Puzzle,David
Electronics,2022-01-11,882.72,5,J010,Board Game,Daniel
Books,2021-04-15,120.72,10,F006,Laptop,John
Clothing,2021-10-14,193.07,1,L012,Dress,Emily
Books,2021-08-10,409.5,8,B002,T-shirt,Emily
Books,2022-01-06,148.37,8,G007,Jeans,Andrew
Electronics,2023-03-21,347.16,3,G007,Jeans,Daniel
Electronics,2022-09-16,198.43,5,B002,T-shirt,Daniel
Books,2022-03-21,747.69,2,J010,Board Game,Emily
Books,2022-10-27,213.2,10,H008,Microwave,Alex
Books,2022-12-17,706.32,9,J010,Board Game,Olivia
Toys,2021-05-26,858.73,3,E005,Action Figure,Andrew
Home Appliances,2021-03-19,658.36,4,C003,Refrigerator,Jane
Home Appliances,2020-09-03,153.47,1,G007,Jeans,Jane
Books,2023-02-09,186.43,3,G007,Jeans,Jane
Toys,2021-02-04,205.89,6,A001,Smartphone,Olivia
Toys,2021-03-01,271.65,9,G007,Jeans,Alex
Toys,2021-01-05,114.04,4,L012,Dress,Daniel
Electronics,2022-11-29,795.56,1,M013,Vacuum Cleaner,Olivia
Home Appliances,2021-06-09,291.51,10,I009,Cookbook,Michael
Home Appliances,2020-09-12,585.36,2,D004,Novel,Olivia
Books,2022-11-04,808.3,9,G007,Jeans,Daniel
Electronics,2022-02-22,813.72,4,H008,Microwave,Alex
Electronics,2022-08-07,257.27,6,A001,Smartphone,Michael
Toys,2023-03-29,953.26,9,H008,Microwave,Michael
Toys,2022-07-04,943.07,8,M013,Vacuum Cleaner,Olivia
Home Appliances,2020-05-30,913.54,6,F006,Laptop,Daniel
Electronics,2021-06-25,295.3,6,J010,Board Game,John
Toys,2022-09-27,482.82,8,C003,Refrigerator,Sarah
Electronics,2020-10-06,776.39,4,H008,Microwave,John
Books,2020-12-29,329.67,3,B002,T-shirt,Alex
Toys,2020-07-24,595.46,8,N014,Art Book,Daniel
Toys,2023-01-02,890.34,5,A001,Smartphone,Jane
Books,2021-07-31,219.88,4,M013,Vacuum Cleaner,Olivia
Home Appliances,2022-05-03,472.87,7,E005,Action Figure,Andrew
Books,2021-01-27,420.15,6,D004,Novel,John
Clothing,2022-10-10,274.65,2,L012,Dress,Michael
Books,2021-08-19,722.08,3,F006,Laptop,Emily
Electronics,2022-06-18,877.86,7,C003,Refrigerator,Sarah
Electronics,2023-05-15,763.44,10,J010,Board Game,Sarah
Toys,2023-03-07,854.19,9,L012,Dress,Alex
Books,2023-02-14,647.59,7,C003,Refrigerator,John
Home Appliances,2023-04-27,577.15,5,A001,Smartphone,Michael
Electronics,2023-04-01,112.41,3,E005,Action Figure,John
Toys,2021-05-05,726.01,3,I009,Cookbook,Michael
Electronics,2022-05-20,993.93,7,L012,Dress,John
Electronics,2022-06-27,989.05,8,E005,Action Figure,Olivia
Electronics,2021-11-11,396.2,9,O015,Puzzle,Alex
Home Appliances,2023-01-17,511.6,3,O015,Puzzle,Michael
Toys,2022-05-03,262.45,3,F006,Laptop,Olivia
Books,2022-10-10,897.03,8,I009,Cookbook,Daniel
Books,2021-01-20,744.97,10,O015,Puzzle,John
Home Appliances,2021-05-17,842.85,4,D004,Novel,David
Clothing,2022-04-03,224.01,5,K011,Headphones,Andrew
Clothing,2020-09-22,525.45,10,M013,Vacuum Cleaner,Andrew
Books,2020-12-31,260.08,8,C003,Refrigerator,Andrew
Electronics,2021-05-03,393.7,8,C003,Refrigerator,Olivia
Clothing,2021-12-28,445.58,4,J010,Board Game,Olivia
Clothing,2020-06-16,187.77,6,J010,Board Game,David
Books,2020-11-20,251.64,5,G007,Jeans,Andrew
Home Appliances,2022-07-23,381.99,8,L012,Dress,John
Electronics,2020-11-07,818.53,10,A001,Smartphone,Alex
Electronics,2023-01-17,550.04,2,K011,Headphones,Jane
Clothing,2023-05-26,696.59,1,J010,Board Game,John
Books,2020-11-09,905.58,2,A001,Smartphone,Olivia
Electronics,2022-06-19,750.52,9,A001,Smartphone,David
Home Appliances,2022-05-17,500.62,8,B002,T-shirt,John
Electronics,2021-07-28,742.18,7,N014,Art Book,David
Electronics,2021-09-13,840.11,9,I009,Cookbook,Jane
Clothing,2023-01-20,375.51,2,C003,Refrigerator,Jane
Books,2022-04-18,983.42,4,D004,Novel,John
Electronics,2021-08-31,975.19,9,I009,Cookbook,John
Toys,2021-02-26,163.38,4,E005,Action Figure,John
Books,2021-12-28,712.79,4,F006,Laptop,Emily
Books,2022-08-03,631.63,4,B002,T-shirt,Andrew
Electronics,2022-09-22,725.81,8,H008,Microwave,Andrew
Electronics,2022-08-03,707.82,10,I009,Cookbook,Sarah
Electronics,2023-03-13,680.45,6,J010,Board Game,Alex
Clothing,2020-06-29,815.12,2,M013,Vacuum Cleaner,Daniel
Clothing,2022-12-18,910.77,1,E005,Action Figure,John
Books,2020-07-15,102.59,9,L012,Dress,Daniel
Home Appliances,2021-01-17,220.09,6,H008,Microwave,Emily
Electronics,2023-04-03,283.48,4,L012,Dress,Daniel
Home Appliances,2021-06-18,623.04,2,E005,Action Figure,Sarah
Electronics,2020-12-02,160.44,1,F006,Laptop,Daniel
Books,2020-12-12,465.76,8,L012,Dress,John
Books,2020-10-24,409.43,8,B002,T-shirt,Olivia
Home Appliances,2022-12-28,866.02,6,G007,Jeans,Jane
Toys,2022-06-15,755.84,3,I009,Cookbook,Jane
Home Appliances,2021-11-27,936.42,10,J010,Board Game,Sarah
Clothing,2020-08-21,624.67,6,O015,Puzzle,Andrew
Home Appliances,2021-10-30,583.41,6,I009,Cookbook,Michael
Electronics,2020-11-13,864.31,2,H008,Microwave,Emily
Home Appliances,2020-09-22,433.81,10,G007,Jeans,Sarah
Books,2022-07-14,344.72,9,F006,Laptop,Jane
Electronics,2020-12-09,206.05,6,L012,Dress,Jane
Toys,2023-03-25,768.5,2,C003,Refrigerator,Sarah
Clothing,2022-04-23,913.3,5,C003,Refrigerator,Andrew
Toys,2023-04-03,402.37,10,C003,Refrigerator,Olivia
Home Appliances,2023-01-06,308.14,4,L012,Dress,Olivia
Books,2022-01-20,452.18,5,K011,Headphones,Michael
Home Appliances,2021-02-14,626.65,2,C003,Refrigerator,Alex
Clothing,2021-07-24,587.43,8,B002,T-shirt,Jane
Electronics,2021-07-07,669.92,10,O015,Puzzle,Andrew
Electronics,2021-08-04,260.32,1,L012,Dress,David
Home Appliances,2023-05-17,283.18,7,G007,Jeans,John
Home Appliances,2023-01-24,376.16,5,B002,T-shirt,Alex
Home Appliances,2021-12-10,659.96,8,K011,Headphones,Daniel
Toys,2020-09-26,355.8,5,H008,Microwave,Olivia
Toys,2023-05-03,716.71,2,G007,Jeans,Michael
Clothing,2020-09-21,489.76,1,K011,Headphones,Emily
Electronics,2022-12-30,603.95,3,C003,Refrigerator,Jane
Home Appliances,2021-11-17,605.93,1,I009,Cookbook,David
Books,2022-12-04,207.77,9,J010,Board Game,Sarah
Electronics,2022-10-18,482.6,9,J010,Board Game,David
Toys,2021-02-10,893.75,4,M013,Vacuum Cleaner,John
Electronics,2020-09-22,468.83,9,I009,Cookbook,Andrew
Electronics,2023-04-08,475.43,8,L012,Dress,David
Electronics,2021-08-13,330.5,8,J010,Board Game,Jane
Clothing,2021-10-20,803.97,3,F006,Laptop,Olivia
Books,2023-04-30,361.42,7,K011,Headphones,Jane
Clothing,2021-10-24,647.33,2,L012,Dress,John
Home Appliances,2021-09-19,679.47,10,I009,Cookbook,Emily
Toys,2023-03-09,765.33,5,K011,Headphones,Sarah
Toys,2023-01-10,377.64,3,A001,Smartphone,John
Clothing,2021-07-08,469.09,2,D004,Novel,Daniel
Books,2020-11-08,770.3,6,A001,Smartphone,Olivia
Clothing,2020-09-30,398.77,4,C003,Refrigerator,Michael
Books,2023-05-06,781.64,3,D004,Novel,Alex
Home Appliances,2021-06-06,535.3,7,A001,Smartphone,Alex
Books,2023-03-17,226.69,9,A001,Smartphone,Daniel
Clothing,2022-01-09,898.45,3,O015,Puzzle,John
Books,2023-02-18,785.82,7,H008,Microwave,Michael
Toys,2021-07-13,658.43,5,O015,Puzzle,Michael
Home Appliances,2022-06-25,943.41,5,J010,Board Game,Daniel
Electronics,2021-08-05,576.33,6,K011,Headphones,Jane
Clothing,2021-01-24,227.62,10,J010,Board Game,Jane
Books,2022-05-22,463.81,7,C003,Refrigerator,John
Home Appliances,2021-10-09,661.9,3,E005,Action Figure,David
Electronics,2021-04-21,652.84,1,I009,Cookbook,Emily
Clothing,2023-04-03,823.05,8,F006,Laptop,Sarah
Books,2023-02-28,583.16,4,M013,Vacuum Cleaner,Jane
Home Appliances,2022-05-09,251.14,6,B002,T-shirt,Daniel
Electronics,2021-07-07,536.39,8,F006,Laptop,Michael
Home Appliances,2022-07-28,571.35,5,L012,Dress,Michael
Clothing,2021-10-26,552.86,3,L012,Dress,Daniel
Electronics,2022-09-21,149.07,1,H008,Microwave,Emily
Electronics,2023-01-30,909.69,7,A001,Smartphone,Olivia
Books,2022-05-18,114.29,6,F006,Laptop,David
Clothing,2023-03-18,378.25,5,F006,Laptop,John
Clothing,2022-07-03,807.77,2,G007,Jeans,John
Electronics,2022-01-13,833.63,1,E005,Action Figure,Emily
Toys,2023-02-28,454.94,3,O015,Puzzle,Jane
Toys,2021-08-31,886.97,9,C003,Refrigerator,Daniel
Clothing,2021-02-02,754.9,5,L012,Dress,David
Electronics,2022-01-16,754.77,1,H008,Microwave,Michael
Toys,2021-04-29,718.93,6,G007,Jeans,Emily
Home Appliances,2023-03-01,863.36,7,G007,Jeans,Jane
Home Appliances,2021-03-20,478.81,9,K011,Headphones,Andrew
Electronics,2021-06-15,763.55,6,N014,Art Book,Daniel
Books,2022-05-31,212.06,2,E005,Action Figure,Sarah
Home Appliances,2020-11-30,749.75,8,O015,Puzzle,David
Home Appliances,2023-02-18,542.62,10,M013,Vacuum Cleaner,Sarah
Toys,2021-04-24,485.19,8,M013,Vacuum Cleaner,David
Toys,2020-11-26,638.19,7,N014,Art Book,Alex
Clothing,2022-08-29,936.79,7,E005,Action Figure,Alex
Clothing,2022-04-24,613.22,8,C003,Refrigerator,Emily
Clothing,2022-12-10,268.29,4,C003,Refrigerator,Olivia
Books,2023-03-13,738.8,10,I009,Cookbook,Andrew
Home Appliances,2021-07-20,589.24,9,L012,Dress,Emily
Clothing,2022-01-28,621.54,8,H008,Microwave,David
Home Appliances,2022-11-05,170.98,8,I009,Cookbook,Emily
Toys,2021-06-16,789.02,2,A001,Smartphone,Andrew
Home Appliances,2020-08-04,273.38,3,D004,Novel,Emily
Toys,2022-09-01,658.12,10,E005,Action Figure,Alex
Clothing,2020-06-24,771.68,10,D004,Novel,Michael
Books,2021-02-19,540.87,2,K011,Headphones,Andrew
Clothing,2021-08-12,394.14,7,J010,Board Game,Jane
Electronics,2023-05-26,521.95,3,J010,Board Game,Daniel
Home Appliances,2022-07-24,773.11,10,O015,Puzzle,Andrew
Clothing,2022-10-29,607.59,7,B002,T-shirt,Daniel
Books,2021-09-04,373.42,1,M013,Vacuum Cleaner,Michael
Books,2021-08-19,496.26,10,L012,Dress,Jane
Toys,2022-08-23,271.18,10,D004,Novel,Sarah
Home Appliances,2020-10-17,579.72,7,C003,Refrigerator,Sarah
Electronics,2020-10-12,156.87,2,J010,Board Game,Alex
Toys,2021-08-28,475.24,7,J010,Board Game,Jane
Books,2022-06-18,802.96,4,E005,Action Figure,Andrew
Clothing,2020-09-28,431.38,7,K011,Headphones,David
Clothing,2020-05-31,319.73,9,G007,Jeans,Alex
Electronics,2022-06-08,376.28,9,K011,Headphones,Alex
Clothing,2022-02-19,715.86,2,O015,Puzzle,Sarah
Clothing,2023-03-30,995.27,8,K011,Headphones,Michael
Home Appliances,2022-02-11,706.91,10,I009,Cookbook,Sarah
Clothing,2021-07-11,428.74,10,E005,Action Figure,Andrew
Home Appliances,2022-01-13,920.02,8,F006,Laptop,Daniel
Electronics,2022-09-10,819.58,3,M013,Vacuum Cleaner,Emily
Clothing,2020-12-22,623.21,8,F006,Laptop,Alex
Books,2021-10-05,716.65,3,E005,Action Figure,Michael
Electronics,2021-10-21,551.3,6,O015,Puzzle,Olivia
Home Appliances,2021-01-12,997.86,5,M013,Vacuum Cleaner,David
Clothing,2022-02-19,772.83,3,O015,Puzzle,Andrew
Home Appliances,2021-07-22,353.44,3,B002,T-shirt,Jane
Toys,2023-03-06,827.91,3,I009,Cookbook,Olivia
Toys,2021-04-10,207.42,4,L012,Dress,John
Home Appliances,2022-02-09,337.91,7,E005,Action Figure,Olivia
Electronics,2023-02-15,456.39,9,I009,Cookbook,Emily
Books,2021-10-12,766.79,1,D004,Novel,Olivia
Books,2022-11-25,319.39,1,O015,Puzzle,David
Clothing,2023-04-25,152.66,10,G007,Jeans,Jane
Clothing,2020-08-18,475.43,5,N014,Art Book,Daniel
Home Appliances,2022-06-27,806.65,5,D004,Novel,John
Toys,2020-11-09,114.76,7,N014,Art Book,Michael
Books,2021-05-30,923.89,6,E005,Action Figure,Emily
Electronics,2022-05-31,250.34,9,M013,Vacuum Cleaner,Sarah
Clothing,2020-08-01,804.29,9,B002,T-shirt,Olivia
Toys,2020-07-03,912.69,5,E005,Action Figure,John
Clothing,2022-03-20,846.04,8,I009,Cookbook,Sarah
Clothing,2022-11-02,771.3,8,A001,Smartphone,Daniel
Home Appliances,2022-06-24,488.32,6,K011,Headphones,Michael
Electronics,2021-04-07,707.01,5,J010,Board Game,Jane
Home Appliances,2021-01-06,134.63,6,M013,Vacuum Cleaner,Emily
Home Appliances,2022-03-13,376.75,5,D004,Novel,Alex
Electronics,2021-06-08,761.36,8,A001,Smartphone,Andrew
Books,2020-09-08,486.38,6,K011,Headphones,John
Clothing,2020-12-09,601.24,1,F006,Laptop,Daniel
Books,2021-07-01,725.55,1,D004,Novel,Sarah
Books,2021-05-24,587.19,6,H008,Microwave,Andrew
Toys,2023-02-19,743.07,8,L012,Dress,Sarah
Toys,2022-12-08,800.07,10,E005,Action Figure,David
Books,2022-07-16,160.03,4,L012,Dress,Olivia
Toys,2022-01-27,386.74,5,A001,Smartphone,Olivia
Electronics,2022-12-14,214.22,5,C003,Refrigerator,Jane
Books,2020-06-25,187.3,4,H008,Microwave,Daniel
Electronics,2020-11-17,862.37,10,B002,T-shirt,Sarah
Clothing,2021-10-13,442.48,6,G007,Jeans,Jane
Home Appliances,2022-07-14,768.13,2,N014,Art Book,Olivia
Toys,2022-04-28,451.79,5,H008,Microwave,David
Home Appliances,2021-10-12,445.71,4,B002,T-shirt,Michael
Books,2022-05-09,963.24,5,N014,Art Book,Andrew
Clothing,2021-04-10,577.37,8,E005,Action Figure,Andrew
Electronics,2021-10-14,797.43,5,N014,Art Book,Michael
Books,2021-06-28,985.35,3,J010,Board Game,Jane
Books,2021-06-15,172.28,1,C003,Refrigerator,Jane
Home Appliances,2022-08-01,498.75,2,O015,Puzzle,John
Clothing,2021-02-24,821.38,9,E005,Action Figure,Andrew
Clothing,2021-06-29,175.94,7,B002,T-shirt,Daniel
Clothing,2020-11-06,578.71,10,C003,Refrigerator,Olivia
Clothing,2021-04-27,387.7,5,L012,Dress,Sarah
Clothing,2021-05-10,474.64,2,N014,Art Book,Olivia
Toys,2023-05-27,701.06,5,C003,Refrigerator,Daniel
Electronics,2022-03-10,770.39,3,E005,Action Figure,Alex
Home Appliances,2023-02-28,635.53,4,M013,Vacuum Cleaner,Alex
Electronics,2022-12-25,509.9,10,H008,Microwave,John
Toys,2021-08-17,662.27,5,N014,Art Book,John
Electronics,2021-12-27,195.08,1,G007,Jeans,Daniel
Home Appliances,2023-01-02,294.74,8,N014,Art Book,David
Clothing,2022-03-03,916.27,9,I009,Cookbook,Sarah
Home Appliances,2022-12-05,840.1,4,B002,T-shirt,Sarah
Toys,2022-03-04,555.96,10,F006,Laptop,Sarah
Electronics,2022-01-12,768.9,6,N014,Art Book,Alex
Home Appliances,2020-11-09,292.27,4,L012,Dress,Olivia
Clothing,2022-06-15,891.22,9,I009,Cookbook,Andrew
Toys,2021-09-21,368.67,1,A001,Smartphone,Jane
Toys,2023-03-06,270.83,7,L012,Dress,David
Toys,2022-03-07,834.95,1,G007,Jeans,Emily
Books,2021-10-31,508.13,2,O015,Puzzle,Jane
Electronics,2020-07-13,741.88,4,K011,Headphones,Sarah
Home Appliances,2022-06-20,332.61,7,F006,Laptop,Sarah
Home Appliances,2021-09-18,721.25,5,L012,Dress,Olivia
Electronics,2020-11-23,665.93,10,M013,Vacuum Cleaner,David
Clothing,2021-06-29,662.6,10,I009,Cookbook,Emily
Books,2021-11-09,550.83,8,M013,Vacuum Cleaner,Andrew
Books,2020-11-13,785.35,2,H008,Microwave,Alex
Home Appliances,2022-09-25,734.43,1,B002,T-shirt,Sarah
Books,2022-07-04,566.12,1,J010,Board Game,Sarah
Clothing,2022-03-06,501.95,7,K011,Headphones,Sarah
Electronics,2022-09-29,652.29,6,F006,Laptop,John
Clothing,2023-05-26,454.06,4,K011,Headphones,Sarah
